Module,Permission,Grant Source,Company Scope,Organization Scope,Project Scope,Frontend,Server,Status
Sales CRM,VIEW_CUSTOMER,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,PROPOSAL
Sales CRM,EDIT_CUSTOMER,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,PROPOSAL
Sales CRM,VIEW_OPPORTUNITY,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,PROPOSAL
Sales CRM,MANAGE_PIPELINE,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,PROPOSAL
Sales CRM,CREATE_ESTIMATE_REQUEST,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,PROPOSAL
Contacts and Google Contacts,CREATE_CONTACT,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,N/A,Hide/disable for UX only,Mandatory server enforcement before field projection,PROPOSAL
Contacts and Google Contacts,EDIT_CONTACT,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,N/A,Hide/disable for UX only,Mandatory server enforcement before field projection,PROPOSAL
Contacts and Google Contacts,MERGE_CONTACT,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,N/A,Hide/disable for UX only,Mandatory server enforcement before field projection,PROPOSAL
Contacts and Google Contacts,SYNC_CONTACTS,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,N/A,Hide/disable for UX only,Mandatory server enforcement before field projection,PROPOSAL
Business Card OCR,CREATE_CONTACT,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,N/A,Hide/disable for UX only,Mandatory server enforcement before field projection,PROPOSAL
Business Card OCR,MERGE_CONTACT,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,N/A,Hide/disable for UX only,Mandatory server enforcement before field projection,PROPOSAL
Finance ERP,VIEW_SUMMARY,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Finance ERP,VIEW_DETAIL,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Finance ERP,CREATE_TRANSACTION,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Finance ERP,APPROVE_TRANSACTION,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Finance ERP,POST_TRANSACTION,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Finance ERP,RECORD_PAYMENT,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Finance ERP,MANAGE_BUDGET,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Finance ERP,CLOSE_PERIOD,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Finance ERP,EXPORT_REPORT,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Electronic Tax Invoices,MANAGE_TAX_INVOICE,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,N/A,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Electronic Tax Invoices,APPROVE_TRANSACTION,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,N/A,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
"HR, Organization and Account",VIEW_DIRECTORY,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Organization/membership scope,N/A,Hide/disable for UX only,Mandatory server enforcement before field projection,PROPOSAL
"HR, Organization and Account",VIEW_PERSONNEL_DETAIL,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Organization/membership scope,N/A,Hide/disable for UX only,Mandatory server enforcement before field projection,PROPOSAL
"HR, Organization and Account",EDIT_PERSONNEL,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Organization/membership scope,N/A,Hide/disable for UX only,Mandatory server enforcement before field projection,PROPOSAL
"HR, Organization and Account",MANAGE_ORGANIZATION,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Organization/membership scope,N/A,Hide/disable for UX only,Mandatory server enforcement before field projection,PROPOSAL
"HR, Organization and Account",MANAGE_MEMBERSHIP,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Organization/membership scope,N/A,Hide/disable for UX only,Mandatory server enforcement before field projection,PROPOSAL
"HR, Organization and Account",MANAGE_ACCOUNT,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Organization/membership scope,N/A,Hide/disable for UX only,Mandatory server enforcement before field projection,PROPOSAL
"HR, Organization and Account",ASSIGN_ROLE,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Organization/membership scope,N/A,Hide/disable for UX only,Mandatory server enforcement before field projection,PROPOSAL
"HR, Organization and Account",MANAGE_DELEGATION,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Organization/membership scope,N/A,Hide/disable for UX only,Mandatory server enforcement before field projection,PROPOSAL
Drive and Google Shared Drive,VIEW,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Drive and Google Shared Drive,UPLOAD,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Drive and Google Shared Drive,EDIT,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Drive and Google Shared Drive,MOVE,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Drive and Google Shared Drive,DELETE,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Drive and Google Shared Drive,SHARE,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Drive and Google Shared Drive,MANAGE_PERMISSION,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
Drive and Google Shared Drive,MANAGE_PROVIDER,Explicit business role assignment; title/rank is never sufficient,X-Company-Id + allowedCompanyIds + resource.companyId,Authorized organization scope where applicable,Canonical projectId when linked,Hide/disable for UX only,Mandatory server enforcement before field projection,BACKEND_REQUIRED
