Module,Screen,Capability,EvidenceClass,CurrentEvidence,CurrentMode,RequiredOwnership,Status,FinalContractClassification
Mail,/mail,Folder/list/detail/compose/reply/reply-all/forward/project filter,FRONTEND_VERIFIED,src/components/mail/MailWorkspace.tsx: React useState initialMessages; send mutates local state,FRONTEND_DEMO_ONLY,SERVER_PERSISTENCE_REQUIRED; PROVIDER_BACKED,PARTIAL,PROVIDER_TBD_CONTRACT_COMPLETE
Mail,Pinned prototype,Inbox list and mail navigation,REFERENCE_VERIFIED,App.jsx @ 0d73cf4990c026f07588cd2a42e82230cc63cb43; in-memory mails,FRONTEND_DEMO_ONLY,Behavior reference only,PARTIAL,PROVIDER_TBD_CONTRACT_COMPLETE
Approval,/approvals,"Template, draft form, serial line, approve/reject",FRONTEND_VERIFIED,src/components/approvals/ApprovalWorkspace.tsx + src/store/approvalStore.ts: Zustand persist + mockApprovalRequests,FRONTEND_DEMO_ONLY,SERVER_PERSISTENCE_REQUIRED,PARTIAL,BACKEND_CAPABILITY_PENDING
Approval,/approvals,Approver resolution,FRONTEND_VERIFIED,src/components/approvals/ApprovalWorkspace.tsx: frontend fallback to current user and hardcoded labels,SECURITY_RISK,Backend policy resolver,BROKEN,BACKEND_CAPABILITY_PENDING
Calendar,/calendar,Month view and event registration,FRONTEND_VERIFIED,src/store/scheduleStore.ts: schedule-storage-v1,FRONTEND_DEMO_ONLY,SERVER_PERSISTENCE_REQUIRED,PARTIAL,BACKEND_CAPABILITY_PENDING
Tasks,/tasks/my,Task status/checklist/artifact/blocker/work segment,FRONTEND_VERIFIED,src/store/taskStore.ts: task-storage with fixture loader,FRONTEND_DEMO_ONLY,SERVER_PERSISTENCE_REQUIRED,PARTIAL,BACKEND_CAPABILITY_PENDING
Tasks,/api/tasks,Basic list/create/update/work segment,FRONTEND_VERIFIED,server/src/routes/tasks.ts: lacks collaboration contract breadth and company-first query proof,BACKEND_API_CONNECTED_PARTIAL,Replace by /api/v1 contract,PARTIAL,BACKEND_CAPABILITY_PENDING
Board,/board,Category/list/detail/write/views,FRONTEND_VERIFIED,src/features/board/useBoardStore.ts: concost-board-posts-v1 + initialBoardPosts,FRONTEND_DEMO_ONLY,SERVER_PERSISTENCE_REQUIRED,PARTIAL,BACKEND_CAPABILITY_PENDING
Notifications,/notifications and header,List/read/add/group,FRONTEND_VERIFIED,src/store/notificationStore.ts: notification-storage-v1 + mockNotifications,FRONTEND_DEMO_ONLY,Event/Delivery/Read/Preference server split,PARTIAL,BACKEND_CAPABILITY_PENDING
Notifications,/api/notifications,List mine and mark read,FRONTEND_VERIFIED,server/src/routes/notifications.ts: existing Express GET/PUT,BACKEND_API_CONNECTED_PARTIAL,"Company scope, preferences, delivery capability contract",PARTIAL,BACKEND_CAPABILITY_PENDING
Search,Header global search,"Debounce, keyboard, groups, partial provider isolation",FRONTEND_VERIFIED,src/components/search/GlobalSearch.tsx + src/lib/globalSearch.ts + server/src/routes/search.ts,BACKEND_API_CONNECTED_PARTIAL,Permission-first /api/v1 contract,PARTIAL,BACKEND_CAPABILITY_PENDING
Search,Pinned prototype,Single globalSearchTerm over local collections,REFERENCE_VERIFIED,App.jsx @ 0d73cf4990c026f07588cd2a42e82230cc63cb43,FRONTEND_DEMO_ONLY,Do not inherit unscoped local search,CONFLICT,BACKEND_CAPABILITY_PENDING
GOU,Operational collaboration,Mail/approval/calendar/task/board/notification,GOU_UNKNOWN,No authenticated GOU API/schema evidence supplied in repository,LEGACY_GOU_ONLY,Read-only integration requires separate provider audit,UNKNOWN,GOU_UNKNOWN_READ_ONLY_DEFERRED
