Route,Screen,Component,Action Label,Action Meaning,Current Variant,Required Variant,Primary Rank,Icon,Hover,Focus,Loading,Disabled Reason,Mobile,Test,Screenshot,Status
/workspace,Home,WorkspaceWidgetPortal,위젯 설정,Edit,edit,edit,secondary,Settings,YES,YES,N/A,N/A,YES,inventory,15-admin-actions.png,CLASSIFIED
/mail,Mail,MailWorkspace,메일쓰기,Create,primary,primary,primary,PenLine,YES,YES,N/A,N/A,YES,semanticActions,10-mail-actions.png,COMPLETE
/mail,Mail,MailWorkspace,답장,Reply,primary,edit,secondary,Reply,YES,YES,N/A,selection,YES,semanticActions,10-mail-actions.png,COMPLETE
/mail,Mail,MailWorkspace,전체답장,Reply all,edit,view,secondary,ReplyAll,YES,YES,N/A,selection,YES,semanticActions,10-mail-actions.png,COMPLETE
/mail,Mail,MailWorkspace,전달,Forward,document,duplicate,secondary,Forward,YES,YES,N/A,selection,YES,semanticActions,10-mail-actions.png,COMPLETE
/mail,Mail,MailWorkspace,삭제,Delete,danger,danger,danger,Trash2,YES,YES,N/A,selection,YES,semanticActions,10-mail-actions.png,COMPLETE
/mail,Mail,MailWorkspace,스팸,Spam,archive,warning,secondary,CircleAlert,YES,YES,N/A,selection,YES,semanticActions,10-mail-actions.png,COMPLETE
/mail,Mail,MailWorkspace,리마인드,Reminder,warning,warning,secondary,AlarmClock,YES,YES,N/A,selection,YES,semanticActions,10-mail-actions.png,COMPLETE
/approvals,Approval,ApprovalWorkspace,문서 작성,Create,primary,primary,primary,FilePlus2,YES,YES,N/A,N/A,YES,semanticActions,09-approval-actions.png,COMPLETE
/approvals,Approval,ApprovalWorkspace,결재선 설정,Configure,view,view,secondary,UsersRound,YES,YES,N/A,N/A,YES,semanticActions,09-approval-actions.png,COMPLETE
/approvals,Approval,ApprovalWorkspace,승인,Approve,success,success,primary,Check,YES,YES,N/A,permission,YES,semanticActions,09-approval-actions.png,COMPLETE
/approvals,Approval,ApprovalWorkspace,반려,Reject,reject,reject,danger,X,YES,YES,N/A,permission,YES,semanticActions,09-approval-actions.png,COMPLETE
/approvals,Approval,ApprovalWorkspace,수정요청,Request changes,warning,warning,secondary,RotateCcw,YES,YES,N/A,permission,YES,semanticActions,09-approval-actions.png,COMPLETE
/approvals,Approval,ApprovalWorkspace,회수,Recall,archive,archive,secondary,RotateCcw,YES,YES,N/A,state,YES,semanticActions,09-approval-actions.png,COMPLETE
/approvals,Approval line,ApprovalLineManager,결재선 저장,Save,save,save,secondary,Save,YES,YES,N/A,N/A,YES,semanticActions,09-approval-actions.png,COMPLETE
/approvals,Approval line,ApprovalLineManager,결재선 복사,Duplicate,duplicate,duplicate,secondary,Copy,YES,YES,N/A,saved line,YES,semanticActions,09-approval-actions.png,COMPLETE
/approvals,Approval line,ApprovalLineManager,결재선 삭제,Delete,danger,danger,danger,Trash2,YES,YES,N/A,saved line,YES,semanticActions,09-approval-actions.png,COMPLETE
