Screen,Field,Input/Display,Required,Owner,Save Trigger,Endpoint,State,Permission
/projects,companyId,Display/filter,Yes,SERVER [COMMON_CONTRACT],Initial load and workspace change,GET /api/v1/projects,No transition,PROJECT_VIEW
/projects,organizationUnitId,Filter,No,SERVER [BACKEND_REQUIRED],Filter change,GET /api/v1/projects?organizationUnitId={id},No transition,PROJECT_VIEW
/projects,lifecycleStatus,Filter/display,No,SERVER [BACKEND_REQUIRED],Filter change,GET /api/v1/projects?lifecycle={state},No transition,PROJECT_VIEW
/projects,healthStatus,Input/display,No,SERVER [BACKEND_REQUIRED],Health command,POST /api/v1/projects/{id}/health,NORMAL|AT_RISK|BLOCKED,PROJECT_EDIT
/projects,assignment projection,Display,Yes,SERVER [POLICY_FROZEN],List/detail load,GET /api/v1/projects/{id}/assignments,No transition,PROJECT_VIEW
/projects,lifecycle action,Input,Conditional,SERVER [BACKEND_REQUIRED],Authorized action button,POST /api/v1/projects/{id}/lifecycle,Approved lifecycle transition,PROJECT_MANAGE
/projects/intake?tab=REQUEST,client and project basics,Input/display,Yes,SERVER [BACKEND_REQUIRED],Create or save,POST /api/v1/estimate-requests; PATCH /api/v1/estimate-requests/{id},DRAFT or current state,ESTIMATE_REQUEST_CREATE|EDIT
/projects/intake?tab=REQUEST,inquiry memo,Input/display,No,SERVER [BACKEND_REQUIRED],Save,PATCH /api/v1/estimate-requests/{id},Current state,ESTIMATE_REQUEST_EDIT
/projects/intake?tab=REQUEST,ownerPersonnelCardId,Input/display,Conditional,SERVER [BACKEND_REQUIRED],Owner assignment,PATCH /api/v1/estimate-requests/{id},Current state,ESTIMATE_REQUEST_EDIT
/projects/intake?tab=REQUEST,consultation/activity,Input/display,No,SERVER [BACKEND_REQUIRED],Add activity,POST /api/v1/estimate-requests/{id}/activities,No aggregate transition,ESTIMATE_REQUEST_EDIT
/projects/intake?tab=REQUEST,source file reference,Input/display,No,SERVER FILE [COMMON_CONTRACT],Attach READY file,POST /api/v1/estimate-requests/{id}/files,No aggregate transition,ESTIMATE_REQUEST_EDIT
/projects/intake?tab=REQUEST,request workflow state,Input/display,Conditional,SERVER [BACKEND_REQUIRED],Authorized transition action,POST /api/v1/estimate-requests/{id}/transition,DRAFT -> INQUIRY_RECEIVED -> QUOTE_PREPARING -> QUOTE_SENT -> NEGOTIATING,ESTIMATE_REQUEST_MANAGE
/projects/intake?tab=REQUEST,commercial decision,Input/display,Conditional,SERVER [BACKEND_REQUIRED],Decision action,POST /api/v1/estimate-requests/{id}/decision,WON|LOST|ON_HOLD|CANCELLED,COMMERCIAL_DECISION_APPROVE
/projects/intake/estimate,templateType,Input/display,Yes,SERVER [BACKEND_REQUIRED],Create sheet,POST /api/v1/estimate-requests/{id}/estimate-sheets,none -> DRAFT,ESTIMATE_SHEET_CREATE
/projects/intake/estimate,workbook cells and formulas,Input/display,Yes,SERVER VERSION [BACKEND_REQUIRED],Save Draft,PATCH /api/v1/estimate-sheets/{id},DRAFT -> DRAFT,ESTIMATE_SHEET_EDIT
/projects/intake/estimate,review action,Input,Conditional,SERVER [BACKEND_REQUIRED],Review button,POST /api/v1/estimate-sheets/{id}/review,DRAFT -> INTERNAL_REVIEW,ESTIMATE_SHEET_SUBMIT
/projects/intake/estimate,approval action,Input,Conditional,SERVER [BACKEND_REQUIRED],Approve button,POST /api/v1/estimate-sheets/{id}/approve,INTERNAL_REVIEW -> APPROVED,ESTIMATE_SHEET_APPROVE
/projects/intake/estimate,recipient and channel,Input/display,Yes for issue,SERVER [BACKEND_REQUIRED],Issue button,POST /api/v1/estimate-sheets/{id}/issue,APPROVED -> ISSUED,ESTIMATE_SHEET_ISSUE
