Module,Screen,Action,Fields,CurrentBehavior,RequiredSaveBehavior,Endpoint,Permission,StateTransition,FileContract,ProjectLink,EvidenceClass,DataOwnership,FinalContractClassification
Mail,Mailbox list,Filter folders/search/select,"folder, query, selected IDs",local filtered array,server query,GET /api/v1/mail/messages,MAIL_VIEW,none,none,canonical projectId optional,FRONTEND_VERIFIED,PROVIDER_BACKED,CONTRACT_DEFINED
Mail,Message detail,Open message,messageId,local state,server read; provider capability,GET /api/v1/mail/messages/{id},MAIL_VIEW,none,download READY refs,projectId optional,FRONTEND_VERIFIED,PROVIDER_BACKED,CONTRACT_DEFINED
Mail,Composer,Save draft,"to, cc, bcc, subject, body, projectId, fileIds",not persisted,server Draft; browser cache only temporary,POST /api/v1/mail/drafts,MAIL_COMPOSE,none->DRAFT,READY before send,projectId optional,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED; TEMPORARY_DRAFT_CACHE optional,CONTRACT_DEFINED
Mail,Composer,Send,"draftId, revision, providerAccountId",local SENT success,provider-confirmed success only,POST /api/v1/mail/drafts/{id}/send,MAIL_SEND,DRAFT->SENDING->SENT|FAILED,all READY,projectId optional,FRONTEND_VERIFIED,PROVIDER_BACKED,CONTRACT_DEFINED
Mail,Message detail,Reply,"messageId, body, fileIds",local compose,server reply Draft,POST /api/v1/mail/messages/{id}/reply,MAIL_COMPOSE,none->DRAFT,READY before send,inherit projectId,FRONTEND_VERIFIED,PROVIDER_BACKED,CONTRACT_DEFINED
Mail,Message detail,Reply all,"messageId, body, fileIds",local compose,server reply-all Draft,POST /api/v1/mail/messages/{id}/reply-all,MAIL_COMPOSE,none->DRAFT,READY before send,inherit projectId,FRONTEND_VERIFIED,PROVIDER_BACKED,CONTRACT_DEFINED
Mail,Message detail,Forward,"messageId, recipients, body, fileIds",local compose,server forward Draft,POST /api/v1/mail/messages/{id}/forward,MAIL_COMPOSE,none->DRAFT,READY before send,projectId optional,FRONTEND_VERIFIED,PROVIDER_BACKED,CONTRACT_DEFINED
Mail,Mailbox toolbar,Move/delete/read/important,"messageIds, action, folderId",local UI only,provider-backed command,POST /api/v1/mail/messages/actions,MAIL_MANAGE,message flags/folder update,none,none,FRONTEND_VERIFIED,PROVIDER_BACKED,CONTRACT_DEFINED
Approval,Form library,Choose form,formId,hardcoded templates,server active form schema,GET /api/v1/approval/forms,APPROVAL_VIEW,none,none,projectId optional,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Approval,Draft editor,Resolve approval policy,"formId, orgId, projectId, amount/category facts",frontend hardcoded line,server policy response; no names hardcoded,GET /api/v1/approval/policies/resolve,APPROVAL_CREATE,none,none,canonical projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Approval,Draft editor,Save draft,"formId, title, body, fileIds, projectId",Zustand persist,server Draft,POST /api/v1/approval/drafts,APPROVAL_CREATE,none->DRAFT,references allowed; READY at submit,canonical projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Approval,Draft editor,Submit,"draftId, policyId, revision",local store success,server policy/approver validation,POST /api/v1/approval/drafts/{id}/submit,APPROVAL_SUBMIT,DRAFT->SUBMITTED->IN_REVIEW,all READY,canonical projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Approval,Approval inbox,Open document,approvalId,local visible filter,server scope,GET /api/v1/approvals/{id},APPROVAL_VIEW,none,READY download refs,canonical projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Approval,Decision panel,Approve/reject/return,"stepId, decision, comment, revision",local store mutation,server active step/capability,POST /api/v1/approvals/{id}/decisions,APPROVAL_DECIDE,IN_REVIEW->APPROVED|REJECTED|CHANGES_REQUESTED,none,canonical projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Approval,Sent approvals,Recall,"approvalId, comment, revision",not policy-complete,server recall capability only,POST /api/v1/approvals/{id}/recall,APPROVAL_RECALL,SUBMITTED|IN_REVIEW->RECALLED,none,canonical projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Approval,Delegation,Create delegation,"delegate, scope, dates, reason",missing,server policy and audit,POST /api/v1/approval-delegations,APPROVAL_DELEGATION_MANAGE,none->SCHEDULED|ACTIVE,none,scope may include project,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Calendar,Month/week/day view,List events,"range, scope, calendarIds",Zustand schedule list,server scoped query,GET /api/v1/calendar/events,CALENDAR_VIEW,none,none,projectId filter,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Calendar,Event editor,Create event,"scope, title, dates, timezone, recurrence, attendees",local addSchedule,server create,POST /api/v1/calendar/events,CALENDAR_CREATE,none->CONFIRMED|TENTATIVE,optional READY refs deferred,canonical projectId optional,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Calendar,Event editor,Update recurrence,"eventId, editScope, revision",not complete,THIS_OCCURRENCE|THIS_AND_FUTURE|ENTIRE_SERIES occurrence policy,PATCH /api/v1/calendar/events/{id},CALENDAR_EDIT,event revision update,none,canonical projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Calendar,Event editor,Cancel,"eventId, editScope, revision",not complete,server recurrence-aware cancel,DELETE /api/v1/calendar/events/{id},CALENDAR_EDIT,*->CANCELLED,none,canonical projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Calendar,Invitation,Respond,"eventId, response, revision",missing,server attendee response,POST /api/v1/calendar/events/{id}/responses,CALENDAR_RESPOND,NEEDS_ACTION->response,none,canonical projectId,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
Calendar,Availability,Free/busy,"attendees, range, timezone",missing,permission-safe busy blocks only,GET /api/v1/calendar/free-busy,CALENDAR_VIEW_AVAILABILITY,none,none,none,FRONTEND_VERIFIED,SERVER_PERSISTENCE_REQUIRED,CONTRACT_DEFINED
