Module,Screen,Field/Action,Current,Storage Owner,Save Trigger,Endpoint,State,Permission,Provider/GOU
Sales CRM,Dashboard,"Dashboard fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Read/refresh,GET /api/v1/customers,NEW|QUALIFYING|QUALIFIED|DISQUALIFIED|CONVERTED|ARCHIVED,VIEW_CUSTOMER,NOT_APPLICABLE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Sales CRM,Customers,"Customers fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Explicit user command,POST /api/v1/customers,NEW|QUALIFYING|QUALIFIED|DISQUALIFIED|CONVERTED|ARCHIVED,VIEW_CUSTOMER,NOT_APPLICABLE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Sales CRM,Customer 360,"Customer 360 fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Read/refresh,GET /api/v1/customers/{customerId},NEW|QUALIFYING|QUALIFIED|DISQUALIFIED|CONVERTED|ARCHIVED,VIEW_CUSTOMER,NOT_APPLICABLE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Sales CRM,Leads,"Leads fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Explicit user command,PATCH /api/v1/customers/{customerId},NEW|QUALIFYING|QUALIFIED|DISQUALIFIED|CONVERTED|ARCHIVED,VIEW_CUSTOMER,NOT_APPLICABLE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Sales CRM,Opportunities,"Opportunities fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Explicit user command,POST /api/v1/customers/{customerId}/archive,NEW|QUALIFYING|QUALIFIED|DISQUALIFIED|CONVERTED|ARCHIVED,VIEW_CUSTOMER,NOT_APPLICABLE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Sales CRM,Pipeline,"Pipeline fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Read/refresh,GET /api/v1/customers/{customerId}/timeline,NEW|QUALIFYING|QUALIFIED|DISQUALIFIED|CONVERTED|ARCHIVED,VIEW_CUSTOMER,NOT_APPLICABLE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Sales CRM,Activities,"Activities fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Read/refresh,GET /api/v1/leads,NEW|QUALIFYING|QUALIFIED|DISQUALIFIED|CONVERTED|ARCHIVED,VIEW_CUSTOMER,NOT_APPLICABLE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Sales CRM,Sales Settings,"Sales Settings fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Explicit user command,POST /api/v1/leads,NEW|QUALIFYING|QUALIFIED|DISQUALIFIED|CONVERTED|ARCHIVED,VIEW_CUSTOMER,NOT_APPLICABLE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Contacts and Google Contacts,Contacts,"Contacts fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Read/refresh,GET /api/v1/contacts,ACTIVE|ARCHIVED|MERGE_REVIEW|MERGED,CREATE_CONTACT,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Contacts and Google Contacts,Contact Detail,"Contact Detail fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Explicit user command,POST /api/v1/contacts,ACTIVE|ARCHIVED|MERGE_REVIEW|MERGED,CREATE_CONTACT,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Contacts and Google Contacts,Contact Merge,"Contact Merge fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Read/refresh,GET /api/v1/contacts/{contactId},ACTIVE|ARCHIVED|MERGE_REVIEW|MERGED,CREATE_CONTACT,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Contacts and Google Contacts,Google Contacts Sync,"Google Contacts Sync fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Explicit user command,PATCH /api/v1/contacts/{contactId},ACTIVE|ARCHIVED|MERGE_REVIEW|MERGED,CREATE_CONTACT,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Business Card OCR,Business Card Capture,"Business Card Capture fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Explicit user command,POST /api/v1/business-card-captures,LOCAL_SELECTED|UPLOAD_INTENT_CREATED|UPLOADING|UPLOADED|OCR_QUEUED|OCR_PROCESSING|REVIEW_REQUIRED|DUPLICATE_REVIEW|READY_TO_CREATE|CREATED|SYNC_PENDING|SYNCED|FAILED|CANCELLED,CREATE_CONTACT,PROVIDER_TBD_CONTRACT_COMPLETE; OUT_OF_SCOPE_APPROVED
Business Card OCR,OCR Review,"OCR Review fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Read/refresh,GET /api/v1/business-card-captures/{captureId},LOCAL_SELECTED|UPLOAD_INTENT_CREATED|UPLOADING|UPLOADED|OCR_QUEUED|OCR_PROCESSING|REVIEW_REQUIRED|DUPLICATE_REVIEW|READY_TO_CREATE|CREATED|SYNC_PENDING|SYNCED|FAILED|CANCELLED,CREATE_CONTACT,PROVIDER_TBD_CONTRACT_COMPLETE; OUT_OF_SCOPE_APPROVED
Business Card OCR,Duplicate Review,"Duplicate Review fields, filters, validation, loading/empty/error and permission state",PARTIAL,SERVER_PERSISTENCE_REQUIRED,Explicit user command,POST /api/v1/business-card-captures/{captureId}/start-ocr,LOCAL_SELECTED|UPLOAD_INTENT_CREATED|UPLOADING|UPLOADED|OCR_QUEUED|OCR_PROCESSING|REVIEW_REQUIRED|DUPLICATE_REVIEW|READY_TO_CREATE|CREATED|SYNC_PENDING|SYNCED|FAILED|CANCELLED,CREATE_CONTACT,PROVIDER_TBD_CONTRACT_COMPLETE; OUT_OF_SCOPE_APPROVED
Finance ERP,Dashboard,"Dashboard fields, filters, validation, loading/empty/error and permission state",MISSING,ACCOUNTING_RECORD,Read/refresh,GET /api/v1/finance/dashboard,DRAFT|SUBMITTED|APPROVED|POSTED|VOIDED|CANCELLED,VIEW_SUMMARY,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Finance ERP,Sales/Purchases,"Sales/Purchases fields, filters, validation, loading/empty/error and permission state",MISSING,ACCOUNTING_RECORD,Read/refresh,GET /api/v1/finance-transactions,DRAFT|SUBMITTED|APPROVED|POSTED|VOIDED|CANCELLED,VIEW_SUMMARY,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Finance ERP,Receivables,"Receivables fields, filters, validation, loading/empty/error and permission state",MISSING,ACCOUNTING_RECORD,Explicit user command,POST /api/v1/finance-transactions,DRAFT|SUBMITTED|APPROVED|POSTED|VOIDED|CANCELLED,VIEW_SUMMARY,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Finance ERP,Payables,"Payables fields, filters, validation, loading/empty/error and permission state",MISSING,ACCOUNTING_RECORD,Read/refresh,GET /api/v1/finance-transactions/{transactionId},DRAFT|SUBMITTED|APPROVED|POSTED|VOIDED|CANCELLED,VIEW_SUMMARY,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Finance ERP,Expenses,"Expenses fields, filters, validation, loading/empty/error and permission state",MISSING,ACCOUNTING_RECORD,Explicit user command,PATCH /api/v1/finance-transactions/{transactionId},DRAFT|SUBMITTED|APPROVED|POSTED|VOIDED|CANCELLED,VIEW_SUMMARY,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Finance ERP,Corporate Card,"Corporate Card fields, filters, validation, loading/empty/error and permission state",MISSING,ACCOUNTING_RECORD,Explicit user command,POST /api/v1/finance-transactions/{transactionId}/submit,DRAFT|SUBMITTED|APPROVED|POSTED|VOIDED|CANCELLED,VIEW_SUMMARY,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Finance ERP,Budget,"Budget fields, filters, validation, loading/empty/error and permission state",MISSING,ACCOUNTING_RECORD,Explicit user command,POST /api/v1/finance-transactions/{transactionId}/approve,DRAFT|SUBMITTED|APPROVED|POSTED|VOIDED|CANCELLED,APPROVE_TRANSACTION,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Finance ERP,Cash,"Cash fields, filters, validation, loading/empty/error and permission state",MISSING,ACCOUNTING_RECORD,Explicit user command,POST /api/v1/finance-transactions/{transactionId}/post,DRAFT|SUBMITTED|APPROVED|POSTED|VOIDED|CANCELLED,POST_TRANSACTION,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Finance ERP,Closing,"Closing fields, filters, validation, loading/empty/error and permission state",MISSING,ACCOUNTING_RECORD,Explicit user command,POST /api/v1/finance-transactions/{transactionId}/void,DRAFT|SUBMITTED|APPROVED|POSTED|VOIDED|CANCELLED,POST_TRANSACTION,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Finance ERP,Reports,"Reports fields, filters, validation, loading/empty/error and permission state",MISSING,ACCOUNTING_RECORD,Read/refresh,GET /api/v1/receivables,DRAFT|SUBMITTED|APPROVED|POSTED|VOIDED|CANCELLED,VIEW_SUMMARY,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Finance ERP,Project Finance,"Project Finance fields, filters, validation, loading/empty/error and permission state",MISSING,ACCOUNTING_RECORD,Explicit user command,POST /api/v1/receivables,DRAFT|SUBMITTED|APPROVED|POSTED|VOIDED|CANCELLED,VIEW_SUMMARY,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
Electronic Tax Invoices,Tax Invoice List,"Tax Invoice List fields, filters, validation, loading/empty/error and permission state",MISSING,ACCOUNTING_RECORD,Read/refresh,GET /api/v1/tax-invoice/capabilities,DRAFT|VALIDATION_REQUIRED|APPROVAL_PENDING|APPROVED|SUBMISSION_PENDING|SUBMITTED|ACCEPTED|REJECTED|FAILED|CANCELLED|CORRECTION_REQUIRED|CORRECTED,MANAGE_TAX_INVOICE,PROVIDER_TBD_CONTRACT_COMPLETE; GOU_UNKNOWN_READ_ONLY_DEFERRED
