"Canonical field","Estimate request source","Estimate sheet behavior","Estimate DB behavior","Mail draft behavior","Input memory"
"estimateRequestId","EstimateRequest.id","Version lineage key","sourceRecordId/PJ upsert lineage","Included","No"
"requestNo","EstimateRequest.requestNo","Available through canonical profile","PJ row lineage","Included in subject/body","No"
"projectName","EstimateRequest.projectName","Auto-linked unless manual override","Auto-linked and locked","Included in subject/body","No"
"projectNo","EstimateRequest.projectNo","Auto-linked unless manual override","PJ number auto-linked and locked","Included in filenames/body","No"
"vendor","EstimateRequest.company","Auto-linked unless manual override","Vendor/PJ reference","Included in body","Yes: company-scoped"
"client","EstimateRequest.client","Profile value available to template mapping","Client auto-linked","Included in body","No"
"contact","EstimateRequest.contact","Auto-linked unless manual override","Not promoted to operational intake","Recipient context only","No: personal name"
"contactDepartment","EstimateRequest.contactDepartment","Profile only","Not promoted","Body context","No"
"phone","EstimateRequest.phone","Profile only","Not promoted","Not copied to recipient","No: sensitive"
"email","EstimateRequest.email","Profile only","Not promoted","Prefilled recipient","No: sensitive"
"workCategory","EstimateRequest.workCategory","Profile value available","PJ classification","Body context","Yes: company-scoped"
"executionType","EstimateRequest.executionType","Profile value available","PJ classification","Body context","No"
"usage","EstimateRequest.usage","Profile value available","PJ classification","Body context","Yes: company-scoped"
"areaM2","EstimateRequest.areaM2","Profile value available","PJ metadata","Body context","No"
"areaPy","EstimateRequest.areaPy","Profile value available","PJ metadata","Body context","No"
"buildingCount","EstimateRequest.buildingCount","Profile value available","PJ metadata","Not required","No"
"basementFloors","EstimateRequest.basementFloors","Profile value available","PJ metadata","Not required","No"
"groundFloors","EstimateRequest.groundFloors","Profile value available","PJ metadata","Not required","No"
"floors","EstimateRequest.floors","Profile value available","PJ metadata","Not required","No"
"bidDate","EstimateRequest.bidDate","Profile value available","PJ schedule","Body context","No"
"firstDelivery","EstimateRequest.firstDelivery","Auto-linked unless manual override","PJ delivery schedule","Included in body","No"
"scope","EstimateRequest.scope","Auto-linked unless manual override","PJ scope","Included in body","No: free text"
"unitWork","EstimateRequest.unitWork","Profile value available","PJ classification","Not required","Yes: company-scoped"
"estimateType","EstimateRequest.estimateType","Template and version context","PJ classification","Included in filenames/body","Yes: company-scoped"
"targetUnitIds","EstimateRequest.targetUnitIds","Not a financial cell","Canonical assignment IDs","Not required","No"
"primaryUnitId","EstimateRequest.primaryUnitId","Not a financial cell","Primary canonical assignment","Not required","No"
"sheetId","EstimateSheet.id","Canonical sheet identity","sourceRecordId lineage","Included","No"
"version","EstimateSheet.currentVersion","Immutable completed revision","PJ row references latest event","Included","No"
"status","EstimateSheet.status","DRAFT/작성완료/SENT","Event projection","Included","No"
