unitId,unitNameKo,roleOrder,roleLabelKo,selection
FINISH,마감팀,1,PM,SINGLE_REQUIRED
FINISH,마감팀,2,가설,MULTIPLE
FINISH,마감팀,3,세대,MULTIPLE
FINISH,마감팀,4,내부,MULTIPLE
FINISH,마감팀,5,외부,MULTIPLE
FINISH,마감팀,6,창호,MULTIPLE
FINISH,마감팀,7,조적,MULTIPLE
STRUCTURE,구조팀,1,PM,SINGLE_REQUIRED
STRUCTURE,구조팀,2,기초,MULTIPLE
STRUCTURE,구조팀,3,기둥,MULTIPLE
STRUCTURE,구조팀,4,보,MULTIPLE
STRUCTURE,구조팀,5,슬라브,MULTIPLE
STRUCTURE,구조팀,6,옹벽,MULTIPLE
CIVIL_LANDSCAPE,토목&조경팀,1,PM,SINGLE_REQUIRED
CIVIL_LANDSCAPE,토목&조경팀,2,토공,MULTIPLE
CIVIL_LANDSCAPE,토목&조경팀,3,부대토목,MULTIPLE
CIVIL_LANDSCAPE,토목&조경팀,4,조경,MULTIPLE
CLAIM,클레임센터,1,PM,SINGLE_REQUIRED
CLAIM,클레임센터,2,제안서 작성,MULTIPLE
CLAIM,클레임센터,3,자료 및 현장조사,MULTIPLE
CLAIM,클레임센터,4,보고서 작성,MULTIPLE
DEVELOPMENT,개발팀,1,PM,SINGLE_REQUIRED
DEVELOPMENT,개발팀,2,기획,MULTIPLE
DEVELOPMENT,개발팀,3,FRONTEND,MULTIPLE
DEVELOPMENT,개발팀,4,BACKEND,MULTIPLE
