ID,Module,Legacy Function,Current Screen,Current Behavior,Target Contract,Status,Evidence
P-001,Estimate Request,Create and edit request/memo,/projects/intake?tab=REQUEST,Create/update/activity UI and API wrapper; local fallback on 401/404,Server request aggregate with revision,API_PARTIAL,work-project-receive-estimate-sheet.js:3797-4724; EstimateRequestWorkbench.tsx
P-002,Estimate Request,Consultation and activity history,/projects/intake?tab=REQUEST,Activity add/list exists,Immutable scoped activity endpoint,API_PARTIAL,project-store.js; estimateRequestApi.ts
P-003,Estimate Request,Source attachments,/projects/intake?tab=REQUEST,File picker exists; local metadata fallback possible,READY FileDto references only,API_PARTIAL,work-project-receive-quote.js:261-289
P-004,Estimate Sheet,Create four estimate types,/projects/intake/estimate,Four templates and editor exist,Versioned server sheet aggregate,API_PARTIAL,ESTIMATE_EXCEL_SPECS; EstimateSheetWorkbench.tsx
P-005,Estimate Sheet,"Cell edits, formulas, rows and columns",/projects/intake/estimate,Editable workbook state exists,Draft version PATCH with revision,LOCAL_ONLY,work-project-receive-estimate-sheet.js:611-1070
P-006,Estimate Sheet,Internal review and approval,/projects/intake/estimate,Submit/send/revision controls; no complete review policy,"Draft -> INTERNAL_REVIEW -> APPROVED -> ISSUED; issued version immutable, documentHash retained, revision creates a new version.",CONTRACT_DEFINED,estimateSheetApi.ts; DEC-02 and estimate-sheet review/approve/issue/revision OpenAPI contracts.
P-007,Estimate Sheet,XLSX and print/PDF,/projects/intake/estimate,Browser XLSX and print are implemented,Document reference and audit record,FULL_UI_PARITY,"work-project-receive-estimate-sheet.js:980-1070,2614-2618,6878-6882"
P-008,Commercial Decision,Won/lost/on-hold/cancel,/projects/intake?tab=REQUEST,Decision control exists,Idempotent decision command,API_PARTIAL,startEstimateRequest; EstimateRequestWorkbench.tsx
P-009,Estimate Business Data,PJ records,/projects/intake/database,CRUD grid and local export exist,Scoped business-record API,API_PARTIAL,work-project-receive-db-ui.js
P-010,Estimate Business Data,MEP vendors and contract data,/projects/intake/database,Vendor CRUD exists,Vendor aggregate API,API_PARTIAL,work-project-receive-db-ui.js:1148-1546
P-011,Estimate Business Data,"Targets, sales, receipts and reports",/projects/intake/database,Monthly targets/report UI exists,Business metrics API,API_PARTIAL,work-project-receive-db-core.js:387-400
P-012,Estimate Business Data,JSON/XLS export,/projects/intake/database,Client export implemented,Export audit/reference contract,FULL_UI_PARITY,work-project-receive-db-ui.js:3941-4382
P-013,Execution Plan,Select primary organization/team and participants,No dedicated current route,Current intake draft carries department-like fields only,Canonical organizationUnitId plan,MISSING_UI,Approved PI-API-01 design
P-014,Project Intake,Create server draft from confirmed plan,/projects/intake?tab=INTAKE,List/save/review/accept wrapper; no server create,"Idempotent POST /api/v1/project-intakes creates a server Draft from a confirmed plan; submit requires four steps, READY files and a PM candidate.",CONTRACT_DEFINED,"projectIntakeApi.ts; DEC-01, DEC-05 and Project Intake create/submit contracts."
P-015,Project Intake,Four-step wizard,/projects/intake?tab=INTAKE,"Four steps, previous/next, validation UI",Step-specific server DTO and revision,PARTIAL_UI,ProjectIntakeWorkbench.tsx
P-016,Project Intake,Step 1 basic information and scope,/projects/intake?tab=INTAKE,Fields exist,ProjectIntakeStep1Dto,API_PARTIAL,ProjectIntakeWorkbench.tsx
P-017,Project Intake,Step 2 received materials,/projects/intake?tab=INTAKE,Material rows and file picker exist,File references must be READY,API_PARTIAL,ProjectIntakeWorkbench.tsx:637-650
P-018,Project Intake,Step 3 schedule and organization,/projects/intake?tab=INTAKE,Schedule/PM fields exist; approved organization plan not complete,ProjectIntakeStep3Dto + execution plan IDs,PARTIAL_UI,ProjectIntakeWorkbench.tsx
P-019,Project Intake,Step 4 client contacts and requests,/projects/intake?tab=INTAKE,"Contacts, request text/file, secret references exist",Safe contacts and file references; no credentials,PARTIAL_UI,ProjectIntakeWorkbench.tsx:615-703
P-020,Project Intake,"Submit, review, changes, approve, cancel",/projects/intake?tab=INTAKE,Save/review/accept only,Full versioned approval state machine,PARTIAL_UI,projectIntakeApi.ts
