"Surface","ADMIN","GRADE_1","FINANCE_ACCESS","GRADE_2 manager","GRADE_3 PM","GRADE_4 staff","Server requirement"
"Sidebar estimate menus","ALLOW","ALLOW","ALLOW","DENY","DENY","DENY","FINANCE_ACCESS capability in API modes"
"Estimate request route","ALLOW","ALLOW","ALLOW","DENY","DENY","DENY","X-Company-Id and capability"
"Estimate sheet route","ALLOW","ALLOW","ALLOW","DENY","DENY","DENY","Resource company plus capability"
"Estimate management route","ALLOW","ALLOW","ALLOW","DENY","DENY","DENY","List projection plus capability"
"Estimate DB route","ALLOW","ALLOW","ALLOW","DENY","DENY","DENY","Resource company plus capability"
"Estimate export","ALLOW","ALLOW","ALLOW","DENY","DENY","DENY","Server export authorization"
"Estimate widget/KPI","ALLOW","ALLOW","ALLOW","HIDDEN","HIDDEN","HIDDEN","Permission-first projection"
"Global search estimate result","ALLOW","ALLOW","ALLOW","HIDDEN","HIDDEN","HIDDEN","Provider must filter before projection"
"Estimate notification metadata","ALLOW","ALLOW","ALLOW","HIDDEN","HIDDEN","HIDDEN","Event audience capability"
"Project intake operational fields","ALLOW_NON_FINANCIAL","ALLOW_NON_FINANCIAL","ALLOW_NON_FINANCIAL","ALLOW_BY_ASSIGNMENT","ALLOW_BY_ASSIGNMENT","ALLOW_BY_ASSIGNMENT","Never project price/cost/margin"
"Demo cache hydration","ALLOW","ALLOW","ALLOW","DO_NOT_LOAD","DO_NOT_LOAD","DO_NOT_LOAD","Server mode must not use local fallback"
