"Area","Legacy intent","RC3 frontend implementation","Status","Backend dependency","Evidence"
"Estimate request","Single workbench for project and request details","Seven numbered cards with scroll navigation and operational actions","COMPLETE","Request persistence API for server modes","src/components/intake/EstimateRequestWorkbench.tsx; src/components/intake/EstimateRequestProfileEditor.tsx"
"Required fields","Highlight incomplete required inputs","Yellow required fields, missing count, error summary, first-invalid focus","COMPLETE","Server validation must repeat the same rules","src/components/intake/EstimateRequestProfileEditor.tsx"
"Request editing","Correct an active request","Edit, duplicate and delete controls with immutable won-project guard","COMPLETE","Duplicate/delete endpoints required outside DEMO_LOCAL","src/components/intake/EstimateRequestWorkbench.tsx; src/store/estimateRequestStore.ts"
"Department assignment","Multiple execution departments without estimate-stage PM","Five execution units, one primary unit, no PM selector","COMPLETE","Canonical organization and assignment IDs","src/components/intake/ProjectExecutionUnitSelector.tsx"
"Commercial decision","Won, lost, cancelled or on hold with confirmation","Single confirmation command and idempotent local canonical chain","COMPLETE","Atomic transaction and idempotency enforcement","src/store/estimateRequestStore.ts"
"Estimate sheet","Create and edit four estimate template types","Template picker, spreadsheet editing and version selector","COMPLETE","Sheet/version persistence endpoints","src/components/intake/EstimateSheetWorkbench.tsx"
"Profile prefill","Reuse request details in estimate sheet","Canonical profile syncs source cells while preserving manual overrides","COMPLETE","Backend field-lineage validation","src/lib/estimateRequestProfile.ts"
"Immutable completion","Published estimate versions cannot be edited","SUBMITTED is labelled 작성완료 and starts a new revision for corrections","COMPLETE","Revision endpoint and audit","src/store/estimateSheetStore.ts"
"Draft convenience","Manage unfinished sheets freely","Save, duplicate draft and delete draft; submitted history cannot be deleted","COMPLETE","Draft duplicate/delete endpoints for server modes","src/components/intake/EstimateSheetWorkbench.tsx"
"Mail handoff","Prepare a real mail rather than manually mark sent","Prefilled mail draft carries recipient, subject, body, XLSX/PDF and lineage IDs","COMPLETE","Mail provider must return success before SENT","src/lib/estimateMailDraft.ts; src/components/mail/MailWorkspace.tsx"
"Excel export","Download editable estimate workbook","XLSX export records version metadata","COMPLETE","Export audit endpoint","src/lib/estimateSheetExport.ts"
"Excel import","Preview and validate workbook changes","Template detection, mapping, diff, errors and confirm modal","COMPLETE","Optional server-side malware/content scan","src/lib/estimateSheetImport.ts"
"Excel safety","Block executable or injected workbook content","Macro formats rejected and unsafe formulas/text rejected","COMPLETE","Server revalidation required","src/lib/estimateSheetImport.ts"
"Estimate management","Scan completed and draft estimate versions","KPI, filter and table workbench","COMPLETE","List endpoint with company scope","src/components/intake/EstimateSubmissionWorkbench.tsx"
"Estimate database","Spreadsheet-style PJ and vendor database","Grouped record/grid/export toolbar, editable cells, locks and source drawer","COMPLETE","Canonical upsert and revision endpoints","src/components/intake/EstimateDatabaseWorkbench.tsx"
"Input memory","Recall frequently reused controlled values","Search, keyboard select, add, usage/recent ordering and delete","COMPLETE","Company-scoped suggestion API","src/components/ui/InputHistoryInput.tsx; src/lib/inputSuggestionApi.ts"
"Sensitive memory exclusion","Never remember identity or secret fields","Email, phone, address, memo, name-like contact fields and secrets are excluded","COMPLETE","Server allowlist must mirror frontend","src/lib/inputSuggestionApi.ts"
"Estimate access","Restrict commercial amounts and estimates","ADMIN, GRADE_1 or FINANCE_ACCESS only; PM and managers removed","COMPLETE","FINANCE_ACCESS capability authoritative in server modes","src/lib/accessControl.ts"
"Intake projection","Do not leak commercial amounts into operations","Project intake UI omits unit price, cost, margin and agreed amount","COMPLETE","Response projection must enforce this server-side","src/components/intake/ProjectIntakeWorkbench.tsx"
"Official OpenAPI","Do not alter frozen API without approval","No OpenAPI files changed in RC3 estimate implementation","COMPLETE","Approved contract-change review","docs/handoff/vietqs-frontend/CONTRACT_CHANGE_REQUEST_RC3_ESTIMATE_COMPLETION_MAIL_EXCEL.md"
